target_direction,flanker_direction,current_congruency,previous_congruency,response_type,initiation_time,movement_time,response_time
right,right,C,i,switch,0.172,0.183,0.351
left,right,I,c,switch,0.202,0.305,0.503
left,left,C,i,repeat,0.276,0.169,0.435
right,left,I,c,switch,0.218,0.27,0.493
left,left,C,i,switch,0.239,0.189,0.421
left,right,I,c,repeat,0.287,0.193,0.474
left,right,I,i,repeat,0.151,0.322,0.468
right,left,I,i,switch,0.075,0.289,0.356
right,right,C,i,repeat,0.301,0.166,0.474
left,right,I,c,switch,0.307,0.154,0.457
right,left,I,i,switch,0.243,0.207,0.438
left,right,I,i,switch,0.014,0.283,0.285
right,right,C,i,switch,0.139,0.258,0.387
left,right,I,c,switch,0.254,0.222,0.469
right,right,C,i,switch,0.256,0.185,0.436
right,left,I,c,repeat,0.188,0.475,0.659
left,right,I,i,switch,0.301,0.201,0.499
left,right,I,i,repeat,0.284,0.199,0.487
right,left,I,i,switch,0.257,0.207,0.459
right,left,I,i,repeat,0.304,0.175,0.473
left,right,I,i,switch,0.187,0.418,0.608
right,left,I,i,switch,0.072,0.466,0.536
left,left,C,i,switch,0.219,0.269,0.49
left,right,I,c,repeat,0.222,0.367,0.59
right,left,I,i,switch,0.254,0.19,0.436
left,left,C,i,switch,0.259,0.221,0.469
left,left,C,c,repeat,0.206,0.257,0.454
right,right,C,c,switch,0.253,0.225,0.471
left,left,C,c,switch,0.174,0.258,0.421
right,right,C,c,switch,0.237,0.19,0.425
right,left,I,c,repeat,0.273,0.226,0.484
right,left,I,i,repeat,0.119,0.467,0.59
left,left,C,i,switch,0.26,0.285,0.534
right,right,C,c,switch,0.191,0.25,0.437
left,left,C,c,switch,0.055,0.387,0.443
right,right,C,c,switch,0.07,0.284,0.356
right,right,C,c,repeat,0.151,0.306,0.451
right,right,C,c,repeat,0.22,0.201,0.425
left,left,C,c,switch,0.159,0.288,0.44
right,left,I,c,switch,0.204,0.389,0.586
left,right,I,i,switch,0.272,0.303,0.575
right,right,C,i,switch,0.274,0.171,0.439
right,left,I,c,repeat,0.237,0.357,0.593
right,left,I,i,repeat,0.254,0.301,0.559
right,right,C,i,repeat,0.101,0.356,0.454
left,left,C,c,switch,0.222,0.418,0.633
left,right,I,c,repeat,0.254,0.338,0.583
right,left,I,i,switch,0.277,0.218,0.492
left,right,I,i,switch,0.243,0.27,0.507
right,right,C,i,switch,0.241,0.2,0.442
left,left,C,c,switch,0.238,0.171,0.407
left,left,C,c,repeat,0.285,0.156,0.436
right,right,C,c,switch,0.151,0.288,0.438
left,right,I,c,switch,0.126,0.418,0.537
left,left,C,i,repeat,0.309,0.175,0.47
left,right,I,c,repeat,0.19,0.436,0.621
left,right,I,i,repeat,0.201,0.373,0.572
left,left,C,i,repeat,0.203,0.201,0.409
right,right,C,c,switch,0.226,0.174,0.388
right,right,C,c,repeat,0.24,0.218,0.457
right,right,C,c,repeat,0.202,0.208,0.404
left,left,C,c,switch,0.015,0.368,0.367
right,left,I,c,switch,0.269,0.259,0.524
left,left,C,i,switch,0.076,0.307,0.368
left,right,I,c,repeat,0.253,0.334,0.594
left,right,I,i,repeat,0.222,0.273,0.492
left,left,C,i,repeat,0.204,0.223,0.416
left,left,C,c,repeat,0.207,0.209,0.41
left,left,C,c,repeat,0.087,0.292,0.372
right,left,I,c,switch,0.225,0.255,0.477
left,left,C,i,switch,0.241,0.2,0.443
right,right,C,c,switch,0.251,0.208,0.452
